Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
Goodwill,Yes,1,0.2,0.2,Because they are a trustworthy and valuable organization,NA,NA,Agree,4,Disagree,2,2021,5,loyal,50,50,Female,45 - 54,"$80,000 - $89,999",Professional degree,Control
american cancer society,No,0,NA,0,NA,"I dislike when a charity uses my money to solicit a new donation from me, even though I know it's a business necessity.",Yes,Strongly agree,5,Disagree,2,2021,1,nonloyal,60,60,Male,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
Prevent Cancer Foundation,No,0,NA,0,NA,I'm in particular need of the money right now.,No,Agree,4,Disagree,2,2021,3,loyal,50,50,Male,18 - 24,"$50,000 - $59,999",2 year degree,Control
American Red Cross,No,0,NA,0,NA,I have already donated this year.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Male,25 - 34,"$90,000 - $99,999",4 year degree,Control
National Pediatric Cancer Foundation,Yes,1,0.5,0.5,Because children deserve to live a life free of illness and supporting this charity helps fund the research to achieve that goal.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,45 - 54,"$100,000 - $149,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,They need it,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,10,10,Female,35 - 44,"$20,000 - $29,999",High school graduate,Control
make a wish,No,0,NA,0,NA,I am working on prolific for money lol,No,Neither agree nor disagree,3,Disagree,2,2020,1,nonloyal,20,20,Male,35 - 44,"$40,000 - $49,999",Some college,Treatment
SPCA,Yes,1,0.5,0.5,I support their mission and am an animal lover so I always want to help them out.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,1000,1000,Female,45 - 54,"$70,000 - $79,999",4 year degree,Control
American Cancer Society,Yes,1,0.2,0.2,I believe its a great charity that helps people,NA,NA,Agree,4,Strongly disagree,1,2019,3,nonloyal,100,100,Female,45 - 54,"$100,000 - $149,999",4 year degree,Control
Cool Earth,No,0,NA,0,NA,I give to charity when I choose to do so. I do not like being pressured to give.,No,Neither agree nor disagree,3,Agree,4,2021,5,loyal,100,100,Male,35 - 44,"$100,000 - $149,999",4 year degree,Control
Levine's Children's Hospital,Yes,1,0.5,0.5,"My son has been a patient there many times and we love the people, the concept, and the service they provide.",NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,35 - 44,"$50,000 - $59,999",Some college,Control
Special Olympics Alaska,No,0,NA,0,NA,I have already given to them in 2022 and I am in need of rent money right now.,No,Agree,4,Disagree,2,2021,5,loyal,100,100,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
Human Association of Central New York,Yes,1,0.5,0.5,They could always use more donations,NA,NA,Agree,4,Disagree,2,2021,3,loyal,20,20,Female,18 - 24,"Less than $10,000",Some college,Control
St. Judes,Yes,1,0.5,0.5,"I like the organization, what they do, and they took time to acknowledge my previous donation",NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,500,500,Male,35 - 44,"$60,000 - $69,999",Professional degree,Control
Bradford Baptist Church,Yes,1,0.5,0.5,Because I love Bradford Baptist Church! It is a HUGE part of my life!,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,2000,2000,Female,45 - 54,"$20,000 - $29,999",Some college,Treatment
St. Jude's Children Hospital,Yes,1,0.2,0.2,Because I like what they do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Female,45 - 54,"$30,000 - $39,999",Some college,Treatment
Soar -- starting over animal rescue,Yes,1,0.5,0.5,Because I care about animals.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,75,75,Female,45 - 54,"$100,000 - $149,999",Doctorate,Treatment
Shepard's Office,No,0,NA,0,NA,I would donate more money directly to them,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Female,35 - 44,"$30,000 - $39,999",Some college,Control
Boys and Girls Club,Yes,1,0.1,0.1,Because I think they do great things and deserve it.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Male,25 - 34,"$80,000 - $89,999",4 year degree,Control
"St, Jude",Yes,1,0.1,0.1,I chose to give because I want to help children. I know it is an important organization.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,200,200,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
support hunger,Yes,1,0.1,0.1,I am a giver to just about any cause that involves people being fed or housed,NA,NA,Agree,4,Disagree,2,2021,5,loyal,240,240,Female,55 - 64,"$40,000 - $49,999",2 year degree,Control
Hope for Paws,Yes,1,0.5,0.5,Great organization doing good deeds,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Male,65 - 74,"$80,000 - $89,999",4 year degree,Control
American Diabetes Association,No,0,NA,0,NA,I need the money right now,No,Strongly agree,5,Disagree,2,2020,4,nonloyal,25,25,Female,45 - 54,"$50,000 - $59,999",High school graduate,Control
St. Vincent De Paul,No,0,NA,0,NA,Because we already give regularly,No,Strongly agree,5,Disagree,2,2021,5,loyal,500,500,Male,45 - 54,"$100,000 - $149,999",4 year degree,Control
Central Vermont Humane Society,Yes,1,0.5,0.5,Because of the tireless work they do to help homeless animals. They need the .50 more than I do.,NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,50,50,Female,65 - 74,"$10,000 - $19,999",Some college,Treatment
ASPCA,No,0,NA,0,NA,At the moment I kind of need the money more,No,Agree,4,Strongly disagree,1,2021,3,loyal,25,25,Female,25 - 34,"$10,000 - $19,999",High school graduate,Treatment
Give kids the world,No,0,NA,0,NA,because i choose to give on my own every year,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,55 - 64,"$30,000 - $39,999",Some college,Control
American cancer society,No,0,NA,0,NA,They mentioned covid,No,Agree,4,Disagree,2,2021,5,loyal,150,150,Female,18 - 24,"$40,000 - $49,999",Some college,Control
Salvation Army,Yes,1,0.2,0.2,To help others in need,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Female,35 - 44,"$20,000 - $29,999",Some college,Control
St Jude Children's Research Hospital,Yes,1,0.5,0.5,I really think this charity is worth supporting and I have never heard anything negative about it.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,120,120,Female,75 - 84,"$10,000 - $19,999",Professional degree,Treatment
ASPCA,Yes,1,0.1,0.1,The letter was nice enough.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,35 - 44,"$30,000 - $39,999",4 year degree,Control
RAICES,Yes,1,0.3,0.3,It's just a good organization and this money is essentially free anyway,NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,25,25,Female,35 - 44,"$30,000 - $39,999",4 year degree,Control
A drive for a small local bookstore,No,0,NA,0,NA,The amount that would be donated from this survey doesn't amount to much.,No,Agree,4,Strongly disagree,1,2021,1,nonloyal,25,25,Female,25 - 34,"$30,000 - $39,999",Professional degree,Control
ASPCA,No,0,NA,0,NA,Financial situation has changed and can no longer afford to donate,No,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,25,25,Female,35 - 44,"$30,000 - $39,999",Professional degree,Treatment
WWF,Yes,1,0.5,0.5,I think it‚Äôs extremely important we take care of our wildlife.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,500,500,Female,45 - 54,"$40,000 - $49,999",4 year degree,Control
Table,No,0,NA,0,NA,I didn't feel the amount given would be substantial enough to warrant the effort. I give to this charity routinely in other ways.,No,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,45 - 54,"More than $150,000",Professional degree,Treatment
Housing Works,No,0,NA,0,NA,I would have liked a more specific breakdown on how funds were spent to have the impact the letter describes,No,Neither agree nor disagree,3,Neither agree nor disagree,3,2019,1,nonloyal,25,25,Female,18 - 24,"$50,000 - $59,999",4 year degree,Treatment
ACLU,Yes,1,0.3,0.3,"I haven't in over a year, and with the state of our democracy, they've become more important than ever.",NA,NA,Neither agree nor disagree,3,Disagree,2,2020,3,nonloyal,50,50,Male,35 - 44,"$20,000 - $29,999",4 year degree,Control
Red Cross,No,0,NA,0,NA,"My payment is modest, and I didn't feel I could give any meaningful amount.",No,Agree,4,Strongly disagree,1,2020,2,nonloyal,20,20,Male,75 - 84,"$30,000 - $39,999",Professional degree,Treatment
Against Malaria,No,0,NA,0,NA,"I give to them every year, according to my financial plan.",No,Agree,4,Disagree,2,2021,5,loyal,100,100,Male,65 - 74,"$50,000 - $59,999",4 year degree,Treatment
Second Harvest Food Bank,No,0,NA,0,NA,Because I've recently donated to them.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,45 - 54,"$30,000 - $39,999",4 year degree,Treatment
United Way,Yes,1,0.1,0.1,Because I trust the organization and believe they will use the donation for good.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,35 - 44,"$80,000 - $89,999",Professional degree,Treatment
st judes,No,0,NA,0,NA,i like to do it myself,No,Agree,4,Disagree,2,2021,5,loyal,150,150,Male,35 - 44,"$70,000 - $79,999",Some college,Control
Our Farm Sanctuary,Yes,1,0.5,0.5,I fully support their mission and want to donate as often as I am able.,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,200,200,Female,45 - 54,"$100,000 - $149,999",4 year degree,Control
Salvation Army,No,0,NA,0,NA,I donate to the Salvation Army charity in the form of clothing and household goods I am no longer using,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,55 - 64,"$80,000 - $89,999",4 year degree,Treatment
American Heart Association,No,0,NA,0,NA,I will donate to them personally,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,55 - 64,"$90,000 - $99,999",4 year degree,Control
Pug Rescue of New England,Yes,1,0.5,0.5,I think it is a very worthwhile charity and it is my favorite.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Male,45 - 54,"$70,000 - $79,999",4 year degree,Control
United Way,No,0,NA,0,NA,I donate personally rather than with an intermediary.,No,Agree,4,Strongly disagree,1,2018,1,nonloyal,10,10,Female,65 - 74,"$20,000 - $29,999",4 year degree,Treatment
American Heart Association,Yes,1,0.5,0.5,We have a family history of heart conditions so that is why I would like to donate money to the AHA. It's not a lot of money but it counts.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,10,10,Male,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Highest Hopes Foundation,Yes,1,0.5,0.5,"As I said, the cause is important me.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,250,250,Male,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
Goodwill,No,0,NA,0,NA,I do not have the means to donate at the moment.,No,Agree,4,Neither agree nor disagree,3,2021,1,nonloyal,20,20,Male,35 - 44,"$10,000 - $19,999",Some college,Control
Foster Care and Adoption Coalition,Yes,1,0.5,0.5,"It's an insignificant amount of money so it's really a no-brainer. The money won't help me, but if enough people give a little, it will help the charity.",NA,NA,Agree,4,Strongly disagree,1,2020,3,nonloyal,200,200,Female,55 - 64,"$90,000 - $99,999",Professional degree,Treatment
Marion county resource connection,No,0,NA,0,NA,I gift them every month and have my donation matched by my company,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,55 - 64,"$50,000 - $59,999",2 year degree,Control
Northwest Harvest,Yes,1,0.5,0.5,Their small gifts accumulate. I won't miss 50 cents. They do great things!,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,45 - 54,"$70,000 - $79,999",Professional degree,Control
LDS church,Yes,1,0.1,0.1,it is the right thing to do,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Male,65 - 74,"$20,000 - $29,999",4 year degree,Treatment
American National Red Cross,No,0,NA,0,NA,I think my previous donations are already enough.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,400,400,Male,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
Red Cross,No,0,NA,0,NA,There's not enough money to split.,No,Agree,4,Neither agree nor disagree,3,2020,3,nonloyal,100,100,Male,35 - 44,"$10,000 - $19,999",Some college,Treatment
St jude,No,0,NA,0,NA,Need the money,No,Agree,4,Disagree,2,2020,2,nonloyal,100,100,Male,18 - 24,"$50,000 - $59,999",4 year degree,Treatment
Pet Alliance of Orlando,Yes,1,0.5,0.5,I believe in what they do,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,45 - 54,"$70,000 - $79,999",Professional degree,Control
national kidney foundation,No,0,NA,0,NA,I already just gave them money less than a month ago,No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,500,500,Male,35 - 44,"$70,000 - $79,999",4 year degree,Control
Wildlife Images,No,0,NA,0,NA,I am undergoing chemotherapy and copays are taking every penny I have and some I don't have.,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,100,100,Female,45 - 54,"$50,000 - $59,999",4 year degree,Control
the satanic temple,No,0,NA,0,NA,i already have given money many times,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,200,200,Male,35 - 44,"$30,000 - $39,999",High school graduate,Control
community bail funds,Yes,1,0.5,0.5,"Why not? There's always people out there who need it more than I do. I may be struggling, but others are struggling more.",NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,50,50,Female,25 - 34,"Less than $10,000",2 year degree,Treatment
Doctors Without Borders,No,0,NA,0,NA,Can't afford to at this time.,No,Strongly agree,5,Strongly disagree,1,2020,4,nonloyal,100,100,Male,65 - 74,"$20,000 - $29,999",Some college,Treatment
ASPCA,Yes,1,0.5,0.5,I like this charity,NA,NA,Agree,4,Disagree,2,2021,5,loyal,100,100,Female,25 - 34,"$30,000 - $39,999",Professional degree,Control
Norse Institute,No,0,NA,0,NA,I give on a specific day of the year.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Female,18 - 24,"$70,000 - $79,999",Some college,Treatment
ASPCA,Yes,1,0.2,0.2,I beleive in the cause of this charity and the good work they do.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,25,25,Male,45 - 54,"$10,000 - $19,999",4 year degree,Control
St Judes,Yes,1,0.5,0.5,It felt right . I need to share my blessings. I can do extra work to make up the money.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,10,10,Female,45 - 54,"Less than $10,000",Some college,Control
Out of the Closet,Yes,1,0.5,0.5,I love the mission of Out of the Closet and will always choose to give to them and others like them.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,1500,1500,Female,25 - 34,"$100,000 - $149,999",Professional degree,Treatment
planned parenthood,Yes,1,0.5,0.5,its especially important that they keep doing their good work,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,150,150,Female,45 - 54,"$70,000 - $79,999",Professional degree,Treatment
WWF,Yes,1,0.1,0.1,"Right now I need the money, but I would feel bad about not giving since I was asked",NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,12,12,Male,18 - 24,"$30,000 - $39,999",High school graduate,Treatment
St Judes,Yes,1,0.4,0.4,Because they do amazing work and help so many families.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$10,000 - $19,999",High school graduate,Treatment
Second Harvest,Yes,1,0.5,0.5,I like the involvement in the community and the way they handled operations during the pandemic,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Female,85 or older,"$30,000 - $39,999",4 year degree,Control
United Way,Yes,1,0.5,0.5,I believe in the mission of the United Way and love to support them.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Prefer not to say,35 - 44,"$40,000 - $49,999",4 year degree,Control
Compassion International,No,0,NA,0,NA,I already give monthly,No,Agree,4,Strongly disagree,1,2021,5,loyal,350,350,Female,55 - 64,"$100,000 - $149,999",Professional degree,Treatment
Charleston Animal Society,Yes,1,0.5,0.5,"I strongly support CAS, they are a great organization.",NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,300,300,Male,55 - 64,"$70,000 - $79,999",Professional degree,Treatment
Grace thru Faith,No,0,NA,0,NA,I have already budgeted for charity,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,200,200,Female,35 - 44,"$10,000 - $19,999",4 year degree,Control
St. Judes,No,0,NA,0,NA,I like to donate personally at certain times of the year.,No,Agree,4,Disagree,2,2021,5,loyal,1000,1000,Male,35 - 44,"$40,000 - $49,999",Some college,Control
Imperial Valley museum,Yes,1,0.5,0.5,because I value the museum and I always donate to it.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,45 - 54,"$100,000 - $149,999",4 year degree,Control
Morris Animal Foundation,Yes,1,0.5,0.5,Because it's a good charity that Betty White supported.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,15,15,Female,25 - 34,"$10,000 - $19,999",4 year degree,Treatment
Boys Town,Yes,1,0.5,0.5,I respect the work that Boys Town does.,NA,NA,Strongly agree,5,Disagree,2,2021,3,loyal,50,50,Female,65 - 74,"$30,000 - $39,999",4 year degree,Treatment
St Jude children's research hospital,Yes,1,0.5,0.5,I really believe this hospital is helping to find cures for childhood cancer and others.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,Varies,NA,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
Wyoming Outdoor Council,No,0,NA,0,NA,An amount out of my payment would not be significant enough.,No,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,25,25,Female,45 - 54,"$20,000 - $29,999",4 year degree,Treatment
My Church,Yes,1,0.5,0.5,I already give to them so why not.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,6000,6000,Male,25 - 34,"$70,000 - $79,999",Professional degree,Control
Feeding America,Yes,1,0.3,0.3,"I've given in the past, and despite my own financial straits, it just ""feels right"" to help out others.",NA,NA,Agree,4,Disagree,2,2020,3,nonloyal,15,15,Male,35 - 44,"$10,000 - $19,999",High school graduate,Control
National Federation For The Blind,No,0,NA,0,NA,I'll do that myself. There are plenty of opportunities for me to do so.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Male,55 - 64,"$30,000 - $39,999",Some college,Treatment
Best Friends Animal Society,Yes,1,0.3,0.3,They're a worthy charity. I've been giving to them since the Hurricane in New Orleans left so many animals helpless and they went to rescue them.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,60,60,Female,35 - 44,"$10,000 - $19,999",Professional degree,Control
Habitat for Humanity,No,0,NA,0,NA,Not enough to be useful,No,Agree,4,Disagree,2,2021,1,nonloyal,20,20,Male,55 - 64,"$60,000 - $69,999",2 year degree,Control
St Jude,Yes,1,0.5,0.5,They are a great organization,NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,100,100,Male,35 - 44,"$80,000 - $89,999",Some college,Control
American Red Cross,No,0,NA,0,NA,This is how I earn a living.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,35 - 44,"More than $150,000",Professional degree,Treatment
Doctors without Borders,No,0,NA,0,NA,i already donated,No,Strongly agree,5,Strongly agree,5,2020,2,nonloyal,50,50,Male,35 - 44,"$90,000 - $99,999",4 year degree,Treatment
Misfits Animal Rescue,No,0,NA,0,NA,I have aldready given to them recently,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,35 - 44,"More than $150,000",4 year degree,Control
Feed More (Food bank in Virginia),Yes,1,0.3,0.3,It's a good charity. They do good work. It's easy (and this is a very small donation).,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,45 - 54,"$100,000 - $149,999",Doctorate,Treatment
Red Cross,No,0,NA,0,NA,I give regularly.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,35 - 44,"$10,000 - $19,999",4 year degree,Control
Feed More,Yes,1,0.5,0.5,Because they're a good charity who addresses an issue I care deeply about.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,200,200,Male,25 - 34,"$30,000 - $39,999",Professional degree,Treatment
March of Dimes,Yes,1,0.2,0.2,I believe in what they are trying to accomplish.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$80,000 - $89,999",4 year degree,Control
pet refuge,Yes,1,0.5,0.5,because i always support their mission and give when i can,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,50,50,Female,35 - 44,"More than $150,000",Doctorate,Treatment
Journey Church,Yes,1,0.1,0.1,It‚Äôs God‚Äôs money,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,500,500,Male,18 - 24,"$40,000 - $49,999",High school graduate,Control
Humane Society,Yes,1,0.5,0.5,Because they help out shelter dogs a lot,NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,10,10,Male,25 - 34,"$40,000 - $49,999",4 year degree,Control
FFRF,Yes,1,0.1,0.1,i love them and believe in their mission,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,5,loyal,200,200,Male,35 - 44,"$60,000 - $69,999",Some college,Control
ASPCA,No,0,NA,0,NA,I will donate on my own,No,Agree,4,Disagree,2,2021,1,nonloyal,25,25,Female,35 - 44,"$60,000 - $69,999",4 year degree,Treatment
Ovarian Cancer Research Alliance,Yes,1,0.5,0.5,My grandmother died of ovarian cancer so I am happy to donate extra money to that charity,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,20,20,Female,25 - 34,"$40,000 - $49,999",Professional degree,Control
NewportFILM,Yes,1,0.1,0.1,I like the orgranization.,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,200,200,Female,45 - 54,"$70,000 - $79,999",4 year degree,Control
Habitat for Humanity,No,0,NA,0,NA,I want to give on my own schedule and from my own funds,No,Agree,4,Disagree,2,2019,1,nonloyal,20,20,Male,35 - 44,"More than $150,000",Professional degree,Treatment
Helping Hands,Yes,1,0.5,0.5,I want to continue supporting Helping Hands. They do a lot of good around the world.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,35,35,Female,55 - 64,"$100,000 - $149,999",Some college,Control
St Judes,Yes,1,0.3,0.3,They have a very good cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$20,000 - $29,999",High school graduate,Control
American Heart Association,Yes,1,0.3,0.3,Because this organization uses donations to help people who are in need.,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,3,3,Male,55 - 64,"$50,000 - $59,999",Doctorate,Treatment
Jacksonville Humane Society,Yes,1,0.5,0.5,I don't need it that bad!,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,35 - 44,"$100,000 - $149,999",2 year degree,Treatment
Goodwill,No,0,NA,0,NA,"I am taking surveys to make money for myself, I choose to give to charity with different funds.",No,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,5,loyal,I donated clothes.,NA,Female,35 - 44,"$40,000 - $49,999",4 year degree,Control
Brain and Behavior Research Foundation,Yes,1,0.5,0.5,To help the fight against mental illness.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Male,25 - 34,"$20,000 - $29,999",Some college,Control
World wildlife fund,Yes,1,0.3,0.3,Because I believe in conservation and the importance of doing it,NA,NA,Neither agree nor disagree,3,Strongly disagree,1,2021,1,nonloyal,20,20,Female,18 - 24,"Less than $10,000",2 year degree,Treatment
Planned Parenthood,Yes,1,0.5,0.5,"Because I believe in this organization and know it helps so many people, especially now when reproductive rights are being taken from us.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Female,25 - 34,"Less than $10,000",4 year degree,Control
The Satanic Temple,No,0,NA,0,NA,Because I just gave not too long ago.,No,Strongly agree,5,Disagree,2,2021,3,loyal,40 dollars,40,Female,35 - 44,"$60,000 - $69,999",2 year degree,Treatment
Beth Yeshua International,No,0,NA,0,NA,Don't have much spare money these days.,No,Agree,4,Neither agree nor disagree,3,2020,3,nonloyal,500,500,Male,25 - 34,"$10,000 - $19,999",High school graduate,Treatment
Churches,No,0,NA,0,NA,I don't want to give right now.,No,Strongly agree,5,Disagree,2,2021,5,loyal,10 percent,10,Male,25 - 34,"$70,000 - $79,999",4 year degree,Control
save the children,Yes,1,0.2,0.2,because it is only right to share my fortune with others. to give back to the community.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,25,25,Female,45 - 54,"$40,000 - $49,999",Some college,Treatment
Feed My Starving Children,Yes,1,0.5,0.5,I believe in what they do so I'm willing to donate money to them.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,200,200,Female,35 - 44,"$100,000 - $149,999",Professional degree,Control
AIDS Healthcare Foundation,Yes,1,0.5,0.5,They need it more than I do,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Male,18 - 24,"$40,000 - $49,999",4 year degree,Treatment
Local church,Yes,1,0.5,0.5,I trust the church to give and use it for a good cause especially in my local community,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,50,50,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
Housing Works,No,0,NA,0,NA,I give when I have allocated funds or have items to donate in the moment.,No,Agree,4,Disagree,2,2021,5,loyal,200,200,Female,35 - 44,"$40,000 - $49,999",4 year degree,Treatment
red nose,Yes,1,0.1,0.1,because its a good cause,NA,NA,Strongly agree,5,Disagree,2,2019,3,nonloyal,10,10,Male,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
World Kitchen,Yes,1,0.5,0.5,I believe in what they are doing.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Male,65 - 74,"$30,000 - $39,999",4 year degree,Treatment
St. Jude's,Yes,1,0.1,0.1,I'd feel guilty if I didn't,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,100,100,Male,35 - 44,"$40,000 - $49,999",2 year degree,Treatment
Equal Justice Initiative,Yes,1,0.1,0.1,"I think they sent out that email because they needed funds, and I support their mission.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,18 - 24,"$50,000 - $59,999",4 year degree,Treatment
NSW Wildlife Rescue,No,0,NA,0,NA,I'm much more tight on money than before when I initially made my donation.,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,5,5,Male,18 - 24,"Less than $10,000",4 year degree,Control
Kabul Small Animal Rescue,Yes,1,0.5,0.5,It's a great charity. I regularly donate. They need the money more than I do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,500,500,Female,55 - 64,"More than $150,000",Professional degree,Control
United Way,No,0,NA,0,NA,I already give an ample weekly amount from my payroll deduction.,No,Agree,4,Strongly disagree,1,2021,5,loyal,1000,1000,Male,55 - 64,"More than $150,000",Professional degree,Control
Commonbond,No,0,NA,0,NA,I recently gave and currently I don't have much money to spare without missing bills.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Male,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
saint judes,Yes,1,0.2,0.2,Covid is a trying time for us all,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,18 - 24,"$60,000 - $69,999",Some college,Control
